,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2204,Fiorentina,Milan,2,2,D,0,1,A,9,14,4,7,23,14,2,3,3,4,1,0
2205,Inter,Atalanta,3,4,A,1,0,H,18,14,6,5,12,13,10,3,2,2,0,1
2206,Napoli,Genoa,2,0,H,2,0,H,19,14,9,7,13,9,7,5,1,3,0,0
2207,Sampdoria,Palermo,1,3,A,1,1,D,9,15,3,5,16,16,3,4,2,1,0,0
2208,Siena,Parma,0,0,D,0,0,D,9,12,0,5,14,16,5,5,2,3,0,0
2209,Udinese,Chievo,3,1,H,2,1,H,14,8,8,4,14,22,5,4,3,6,0,0
2210,Roma,Lazio,1,1,D,0,1,A,14,20,6,5,17,17,5,6,4,3,0,1
2211,Atalanta,Fiorentina,0,2,A,0,0,D,7,13,4,6,20,15,5,1,3,3,1,0
2212,Pescara,Siena,2,3,A,0,2,A,20,25,9,10,12,12,8,8,2,2,0,0
2213,Cagliari,Inter,2,0,H,0,0,D,11,19,4,4,10,16,2,10,3,3,0,0
2214,Chievo,Catania,0,0,D,0,0,D,8,7,2,2,13,20,8,2,1,2,0,0
2215,Genoa,Sampdoria,1,1,D,0,1,A,9,3,1,1,21,17,7,2,5,3,0,1
2216,Milan,Napoli,1,1,D,1,1,D,14,11,5,3,19,11,4,6,2,5,1,0
2217,Palermo,Bologna,1,1,D,1,1,D,16,9,6,3,17,15,8,5,4,4,0,0
2218,Parma,Udinese,0,3,A,0,2,A,15,14,3,5,21,15,9,1,1,1,0,0
2219,Torino,Roma,1,2,A,1,1,D,17,11,4,4,9,15,8,5,3,2,0,1
2220,Lazio,Juventus,0,2,A,0,2,A,20,17,2,5,18,11,9,3,2,2,0,0
2221,Genoa,Atalanta,1,1,D,1,1,D,17,3,4,2,17,29,6,2,4,5,0,0
2222,Udinese,Lazio,1,0,H,1,0,H,12,7,3,3,15,13,6,2,2,3,0,0
2223,Bologna,Sampdoria,1,1,D,1,0,H,14,13,6,6,24,20,6,5,2,5,0,0
2224,Catania,Palermo,1,1,D,0,0,D,22,10,7,4,18,18,7,5,2,3,1,0
2225,Fiorentina,Torino,4,3,H,3,1,H,14,9,6,4,11,15,3,7,1,2,0,1
2226,Inter,Parma,1,0,H,0,0,D,9,13,2,5,8,13,4,8,1,2,0,0
2227,Juventus,Milan,1,0,H,0,0,D,13,11,5,6,10,19,7,1,0,3,0,0
2228,Napoli,Cagliari,3,2,H,0,1,A,21,12,7,3,14,20,10,2,3,5,0,0
2229,Roma,Pescara,1,1,D,0,1,A,22,15,6,5,15,15,17,1,2,3,0,0
2230,Siena,Chievo,0,1,A,0,1,A,15,8,4,5,15,19,15,4,5,6,0,0
2231,Atalanta,Bologna,1,1,D,0,0,D,13,9,6,3,14,19,9,4,1,2,0,0
2232,Cagliari,Udinese,0,1,A,0,0,D,10,8,0,2,25,14,4,2,5,3,1,0
2233,Pescara,Napoli,0,3,A,0,0,D,11,20,2,10,13,7,4,6,2,1,0,0
2234,Chievo,Genoa,0,1,A,0,0,D,9,10,1,3,15,18,6,8,4,1,0,0
2235,Milan,Catania,4,2,H,1,1,D,38,7,13,3,9,23,13,2,3,5,0,0
2236,Palermo,Inter,1,0,H,1,0,H,14,17,8,4,6,11,3,7,4,3,0,0
2237,Parma,Lazio,0,0,D,0,0,D,13,10,3,2,15,15,5,8,5,1,0,1
2238,Roma,Siena,4,0,H,3,0,H,14,17,6,3,8,9,3,5,1,1,0,0
2239,Sampdoria,Fiorentina,0,3,A,0,2,A,13,15,2,6,13,13,3,8,2,3,1,0
2240,Torino,Juventus,0,2,A,0,0,D,3,14,2,4,25,10,2,4,2,1,1,0
2241,Chievo,Cagliari,0,0,D,0,0,D,11,8,1,1,23,20,7,2,2,2,0,0
2242,Fiorentina,Roma,0,1,A,0,0,D,27,11,3,3,18,23,12,2,2,3,0,0
2243,Catania,Siena,3,0,H,1,0,H,13,10,5,3,11,15,2,5,1,1,0,1
2244,Genoa,Pescara,4,1,H,2,1,H,20,10,7,1,11,13,8,4,0,1,0,0
2245,Juventus,Palermo,1,0,H,0,0,D,18,7,6,1,12,9,7,4,2,0,1,0
2246,Lazio,Bologna,6,0,H,4,0,H,20,12,8,2,13,17,1,9,1,3,0,0
2247,Milan,Torino,1,0,H,0,0,D,21,8,7,3,10,15,14,3,4,0,0,0
2248,Napoli,Inter,3,1,H,2,1,H,16,11,9,5,12,17,5,6,1,3,0,0
2249,Parma,Atalanta,2,0,H,1,0,H,17,11,7,4,20,7,8,6,4,1,0,0
2250,Udinese,Sampdoria,3,1,H,1,1,D,13,12,5,5,14,19,0,5,5,2,0,0
2251,Roma,Chievo,0,1,A,0,0,D,19,10,4,3,11,15,18,2,1,3,0,0
2252,Atalanta,Juventus,0,1,A,0,1,A,20,14,3,3,11,10,3,5,4,1,0,0
2253,Bologna,Napoli,0,3,A,0,0,D,19,10,3,4,23,14,3,0,4,2,0,0
2254,Cagliari,Parma,0,1,A,0,0,D,14,16,6,5,15,15,9,5,0,1,0,0
2255,Inter,Lazio,1,3,A,1,2,A,25,10,8,4,10,16,11,6,3,1,0,0
2256,Palermo,Udinese,2,3,A,1,1,D,15,15,4,8,25,13,4,8,5,1,0,0
2257,Pescara,Milan,0,4,A,0,2,A,3,13,0,5,20,14,3,7,1,0,0,0
2258,Sampdoria,Catania,1,1,D,1,0,H,20,3,6,1,13,17,5,1,1,4,0,0
2259,Siena,Fiorentina,0,1,A,0,1,A,8,14,1,4,16,11,4,7,6,2,0,0
2260,Torino,Genoa,0,0,D,0,0,D,7,3,2,1,9,12,5,1,0,2,0,0
2261,Catania,Pescara,1,0,H,0,0,D,21,10,5,2,9,26,5,3,1,4,0,0
2262,Juventus,Cagliari,1,1,D,0,1,A,20,8,5,1,9,10,11,3,1,1,0,0
2263,Chievo,Torino,1,1,D,1,1,D,8,14,3,6,11,12,7,7,3,1,0,0
2264,Fiorentina,Palermo,1,0,H,1,0,H,15,16,6,2,9,19,7,9,1,4,0,0
2265,Genoa,Inter,0,0,D,0,0,D,13,9,4,2,9,8,7,2,1,1,0,0
2266,Lazio,Sampdoria,2,0,H,1,0,H,12,10,7,3,15,13,6,3,1,3,0,1
2267,Milan,Roma,0,0,D,0,0,D,14,17,4,8,16,14,4,8,3,3,1,1
2268,Napoli,Siena,2,1,H,0,1,A,18,12,10,3,7,18,6,7,1,0,0,0
2269,Parma,Bologna,0,2,A,0,1,A,15,10,7,2,23,14,13,2,2,3,0,0
2270,Udinese,Atalanta,2,1,H,1,1,D,19,14,6,5,7,18,2,1,0,1,0,0
2271,Sampdoria,Juventus,3,2,H,1,1,D,10,26,4,12,9,8,5,8,1,0,0,0
2272,Atalanta,Chievo,2,2,D,1,0,H,12,18,6,4,22,18,3,5,6,1,0,0
2273,Bologna,Genoa,0,0,D,0,0,D,34,7,6,2,17,15,11,4,1,2,0,0
2274,Cagliari,Lazio,1,0,H,0,0,D,13,11,5,3,14,14,3,6,1,1,0,0
2275,Inter,Udinese,2,5,A,1,3,A,18,12,6,6,9,17,5,4,2,1,0,0
2276,Palermo,Parma,1,3,A,0,3,A,22,12,10,8,12,16,5,5,1,2,0,0
2277,Pescara,Fiorentina,1,5,A,0,3,A,23,12,5,8,14,10,2,1,0,0,0,0
2278,Roma,Napoli,2,1,H,0,0,D,13,11,8,3,21,11,4,6,1,3,0,0
